studentName,rollNumber,branch,classDivision,email,contactNumber,onlineEligible
Ravi Shetty,16014017001,AIDS,B,s.ranadive@somaiya.edu,9600000001,YES
Ritika Gupta,16014017002,AIDS,C,vighnesh.palande@somaiya.edu,9600000002,NO
Radhika Patel,16014017003,AIDS,A,s.ranadive@somaiya.edu,9600000003,YES
Yash Trivedi,16014017004,AIDS,C,vighnesh.palande@somaiya.edu,9600000004,NO
Harshita Rao,16014017005,AIDS,B,s.ranadive@somaiya.edu,9600000005,NO
Karthik Nayak,16014017006,AIDS,B,vighnesh.palande@somaiya.edu,9600000006,NO
Anjali Deshmukh,16014017007,AIDS,C,s.ranadive@somaiya.edu,9600000007,YES
Amit Mehta,16014017008,AIDS,A,vighnesh.palande@somaiya.edu,9600000008,YES
Neha Reddy,16014017009,AIDS,B,s.ranadive@somaiya.edu,9600000009,YES
Manish Sharma,16014017010,AIDS,C,vighnesh.palande@somaiya.edu,9600000010,NO
