studentName,rollNumber,branch,classDivision,email,contactNumber,onlineEligible
Meghna Iyer,16014016001,ETRX,A,s.ranadive@somaiya.edu,9500000001,YES
Vijay Kumar,16014016002,ETRX,B,vighnesh.palande@somaiya.edu,9500000002,YES
Mohit Yadav,16014016003,ETRX,A,s.ranadive@somaiya.edu,9500000003,NO
Pallavi Naik,16014016004,ETRX,B,vighnesh.palande@somaiya.edu,9500000004,YES
Anushka Reddy,16014016005,ETRX,A,s.ranadive@somaiya.edu,9500000005,YES
Raj Verma,16014016006,ETRX,C,vighnesh.palande@somaiya.edu,9500000006,NO
Ananya Desai,16014016007,ETRX,A,s.ranadive@somaiya.edu,9500000007,YES
Rakesh Naik,16014016008,ETRX,B,vighnesh.palande@somaiya.edu,9500000008,YES
Vivek Kumar,16014016009,ETRX,C,s.ranadive@somaiya.edu,9500000009,NO
Nikita Verma,16014016010,ETRX,B,vighnesh.palande@somaiya.edu,9500000010,YES
