studentName,rollNumber,branch,classDivision,email,contactNumber,onlineEligible
Vikram Shah,16014021001,VDT,A,s.ranadive@somaiya.edu,9000000001,YES
Ananya Mehta,16014021002,VDT,B,vighnesh.palande@somaiya.edu,9000000002,NO
Rohit Desai,16014021003,VDT,C,s.ranadive@somaiya.edu,9000000003,YES
Sneha Sharma,16014021004,VDT,A,vighnesh.palande@somaiya.edu,9000000004,YES
Rajiv Iyer,16014021005,VDT,B,s.ranadive@somaiya.edu,9000000005,NO
Amit Naik,16014021006,VDT,C,vighnesh.palande@somaiya.edu,9000000006,YES
Meera Joshi,16014021007,VDT,A,s.ranadive@somaiya.edu,9000000007,YES
Ravi Patel,16014021008,VDT,B,vighnesh.palande@somaiya.edu,9000000008,NO
Kavita Shetty,16014021009,VDT,A,s.ranadive@somaiya.edu,9000000009,YES
Siddharth Deshmukh,16014021010,VDT,C,vighnesh.palande@somaiya.edu,9000000010,YES
